,MMM,AMZN,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PG,CRM,TRV,UNH,VZ,V,WMT,DIS
MMM,0.0013378503945800718,0.00044020865473151855,0.0009054756772543551,0.0005250317137944971,0.0006210222170540595,0.0012833679159625557,0.0009816877709967625,0.0006760922027528144,0.0005587634953274597,0.0005713516326985897,0.0009539635125254517,0.0009767450782046157,0.0007564663665011229,0.0008400157359117861,0.0006431849523864651,0.000933495066079488,0.0003825345023939856,0.0008635660347855015,0.0005246083445739351,0.0002647066256806892,0.0004957864560272419,0.0006773508902019299,0.00039414126397357193,0.0006960742821859329,0.0006658405861459153,0.000548380560515395,0.0003456630940852241,0.0006026636269046022,0.0003173223920082927,0.0006120009011464396
AMZN,0.00044020865473151855,0.0019294254696124544,0.0006980974208017748,0.00041344705062083885,0.0008983461134556425,0.0008715053816753559,0.0005274278308367397,0.00022053474015557752,0.0005643200231252001,0.00021347457996931824,0.00045849697151314323,0.0007044833950820752,0.000677283930727107,0.00038473919291468053,0.00043211287985720794,0.000673522614761154,0.00019866421322153373,0.0005053504316132311,0.0003492327505153706,6.862241173628335e-05,0.0009889479647872464,0.0006685518125667721,0.00029118013568071367,0.0013922515905643899,0.0003091250089597681,0.00036765524903741264,0.00013829465549588672,0.0006367618102424019,0.00043314365777275194,0.0007301981344825401
AXP,0.0009054756772543551,0.0006980974208017748,0.0024517660199942074,0.0004800625837593936,0.0008464607243126766,0.002510346682838777,0.001171020467359343,0.0011961186053774876,0.0007829222688873591,0.0008565166399513703,0.0015018836746493326,0.001631952840333917,0.0011068563746024628,0.0013135683382576873,0.0008936223393093798,0.0009161497227148732,0.0004183822548661815,0.0015728681237666769,0.000806829668924659,0.0003097096854955344,0.0007113491085333001,0.001064028700654285,0.0004811911399809333,0.0010515715554489928,0.0011334253177493207,0.0009460064388946337,0.0004480961444321339,0.0012414749789161474,0.00027538041086654465,0.0012391074610843844
AMGN,0.0005250317137944971,0.00041344705062083885,0.0004800625837593936,0.0012123744145469775,0.00044037625163376073,0.0006680492000312509,0.0005298847577707631,0.0004896226397462822,0.0004304975118372436,0.0004040922284880237,0.0004335361209118749,0.000511116327863023,0.0005093289338479689,0.0004952729817442721,0.0004536410448222172,0.0005449128492592954,0.0004907034367090053,0.0003927397821090843,0.0003515246071206603,0.0005494556557002082,0.00040915319536045117,0.00037298698299903114,0.00038522676801545794,0.00046971439679145525,0.00040637192321489965,0.0006542633584763018,0.0003916592165593732,0.00046491280102828976,0.00033062632278488453,0.00036201505158689695
AAPL,0.0006210222170540595,0.0008983461134556425,0.0008464607243126766,0.00044037625163376073,0.0016042831161173197,0.001060725566100897,0.0004717503754525571,0.0004379220682158269,0.0005962712807811842,0.00047016681208019877,0.0004818587194905182,0.0007603305301082215,0.0008381391113812488,0.0006663087134452533,0.0005604411320326333,0.000818846383858262,0.00037968384968578464,0.0005855428978167731,0.0005068313406395783,0.00022316866446566659,0.0009126106033182817,0.0007575932596710639,0.00048467487280417126,0.0010381132686596815,0.00043827028258206267,0.000642047168048774,0.00017796739534386695,0.0007422322811219705,0.0004006431583415075,0.0007160467372021789
BA,0.0012833679159625557,0.0008715053816753559,0.002510346682838777,0.0006680492000312509,0.001060725566100897,0.0058682547716916635,0.001604642504868618,0.001689221844397368,0.0009523583988628405,0.001213591876860637,0.001902552830365419,0.0021092041805081613,0.0016956495590792523,0.0018047819079959834,0.0013919518487882489,0.0015547400951828696,0.0005085671742166495,0.0018798199660078896,0.0011836298500355492,0.0003360608365569901,0.0008710863641162417,0.0017585352625056382,0.0006383119220181688,0.0012691043234235734,0.0015781897890705004,0.00118563374238582,0.00048527174920776344,0.001308611825609525,0.00025079565891034035,0.0016673504566265542
CAT,0.0009816877709967625,0.0005274278308367397,0.001171020467359343,0.0005298847577707631,0.0004717503754525571,0.001604642504868618,0.0019725067755023704,0.0011732976264984644,0.0006702351059835737,0.0004844718235440714,0.0015017089752470973,0.001177879181872725,0.0007647358001795466,0.0010063981748617888,0.0007563568147376597,0.000855382843720638,0.00034907156299478594,0.0011160423346725644,0.0005100288324055674,0.0003243036566305152,0.0004073993001464028,0.0007964637222481555,0.0002950806742587543,0.0007613481753475333,0.0008053126166670997,0.0004973241627474836,0.0003700447583586682,0.0006227095305293831,0.00036570848890010135,0.0008068876900286004
CVX,0.0006760922027528144,0.00022053474015557752,0.0011961186053774876,0.0004896226397462822,0.0004379220682158269,0.001689221844397368,0.0011732976264984644,0.0019138450108451832,0.00056139037600868,0.0006180892913047842,0.0011695949137672129,0.0010886995718083815,0.0007154663010131051,0.0009369469310772263,0.000665275847094717,0.0006405505417842229,0.0004502427665717645,0.000978546402450159,0.0004972384651748974,0.0003989017308100697,0.00039637213479815157,0.000658560104070253,0.0003068281217759246,0.0004364680073943063,0.0008396710389379028,0.0008118049161398616,0.0004171272143402439,0.0006202289515743643,0.00023301532367502067,0.0007800136568187609
CSCO,0.0005587634953274597,0.0005643200231252001,0.0007829222688873591,0.0004304975118372436,0.0005962712807811842,0.0009523583988628405,0.0006702351059835737,0.00056139037600868,0.0011621143581032635,0.0004362686981143919,0.0006144789824876381,0.0007337195668664291,0.0006189418194544878,0.0006209745728860384,0.0006366566611923468,0.0007152570361611252,0.0003832841802760609,0.0006261337706180705,0.0003921824859227288,0.00025700370264045917,0.0005494637583825414,0.000620148039933447,0.00038635838147685857,0.0006135639146011834,0.000503130921201943,0.000531322005330262,0.0002968230850241824,0.0006032724366285065,0.00046199226563521287,0.0005813048366538735
KO,0.0005713516326985897,0.00021347457996931824,0.0008565166399513703,0.0004040922284880237,0.00047016681208019877,0.001213591876860637,0.0004844718235440714,0.0006180892913047842,0.0004362686981143919,0.0008714098014313401,0.0006012280374842481,0.0006844301535178342,0.0005945348016622035,0.000734369558325688,0.0005293890170293534,0.0004730857569551375,0.0004020348854898981,0.0006325350856363266,0.0005687222850744917,0.00036231922323372545,0.0004122525606436111,0.0005916685906113615,0.0004938731327686659,0.0004204901270027585,0.00067767145292103,0.0006334195884311589,0.0003756847429121055,0.0005698140728147293,0.0003084815994190901,0.0005847528136426218
DOW,0.0009539635125254517,0.00045849697151314323,0.0015018836746493326,0.0004335361209118749,0.0004818587194905182,0.001902552830365419,0.0015017089752470973,0.0011695949137672129,0.0006144789824876381,0.0006012280374842481,0.002508683080927693,0.0014112961964310665,0.0006917273863736276,0.0010048108961342467,0.0008696123635819204,0.0007965604496603801,0.00029854341877976306,0.0012860891435397548,0.0005758190358124952,0.0003349597279751582,0.00030851398078010747,0.0009669132480927881,0.000278760168547532,0.0007556534827021523,0.0010001050284523215,0.0004388449896226912,0.0004766390809803827,0.0007273448622404101,0.0002764240571007069,0.000982081562851408
GS,0.0009767450782046157,0.0007044833950820752,0.001631952840333917,0.000511116327863023,0.0007603305301082215,0.0021092041805081613,0.001177879181872725,0.0010886995718083815,0.0007337195668664291,0.0006844301535178342,0.0014112961964310665,0.002003373877523832,0.0010048185453563588,0.0011430608031089817,0.0008271757069220252,0.0009675462634820729,0.00045462782577778375,0.0015181702897224464,0.0006831500771922288,0.00034227579808456785,0.0006618354158803758,0.0010080136259703347,0.0004259867080984846,0.0009055584983080239,0.0010287462149414697,0.0008165793331652333,0.0003867904348567601,0.00087522271688815,0.0003857454013602724,0.0010680879881421685
HD,0.0007564663665011229,0.000677283930727107,0.0011068563746024628,0.0005093289338479689,0.0008381391113812488,0.0016956495590792523,0.0007647358001795466,0.0007154663010131051,0.0006189418194544878,0.0005945348016622035,0.0006917273863736276,0.0010048185453563588,0.0016199187418021242,0.0008772850277592958,0.0006746954101536276,0.0008585526422798909,0.00041716087618354696,0.000806260948107991,0.0006710094746029765,0.0002856506905137118,0.0007445202580453324,0.0010086606738396058,0.0004742308786658029,0.0009586116307246321,0.000631657769492287,0.0007870762618602715,0.0002731923144673569,0.0008058022891989315,0.0003445166685636388,0.0007679588953946093
HON,0.0008400157359117861,0.00038473919291468053,0.0013135683382576873,0.0004952729817442721,0.0006663087134452533,0.0018047819079959834,0.0010063981748617888,0.0009369469310772263,0.0006209745728860384,0.000734369558325688,0.0010048108961342467,0.0011430608031089817,0.0008772850277592958,0.0012924690185089265,0.0007136363131360568,0.0008240750849366092,0.0004187349223492408,0.0010220859857753425,0.0006628482843386254,0.0003777833246339071,0.0005759229500194624,0.0008664944733576716,0.0004205270446266422,0.0007250428912196117,0.0009005483446276653,0.0007503688278022363,0.0003362299815975476,0.0008095693422072282,0.00028058894943743114,0.0008738288066039571
IBM,0.0006431849523864651,0.00043211287985720794,0.0008936223393093798,0.0004536410448222172,0.0005604411320326333,0.0013919518487882489,0.0007563568147376597,0.000665275847094717,0.0006366566611923468,0.0005293890170293534,0.0008696123635819204,0.0008271757069220252,0.0006746954101536276,0.0007136363131360568,0.0012645023796844501,0.000827192992658174,0.0003980868314106752,0.000764572554288803,0.0005433057010392505,0.0002897769262797047,0.0004900711699657146,0.0005890932131895251,0.0004262775394683682,0.0005909899630704451,0.0006187831910129806,0.000563824466810777,0.00038818427456689214,0.0006375700326882542,0.0002678916661996881,0.0005826258833272969
INTC,0.000933495066079488,0.000673522614761154,0.0009161497227148732,0.0005449128492592954,0.000818846383858262,0.0015547400951828696,0.000855382843720638,0.0006405505417842229,0.0007152570361611252,0.0004730857569551375,0.0007965604496603801,0.0009675462634820729,0.0008585526422798909,0.0008240750849366092,0.000827192992658174,0.0022869578680964875,0.0003951577338621206,0.0008321885305919648,0.0005090961460282403,0.0001928466618205403,0.0006787487120462872,0.0008162111537636968,0.0004509159278957798,0.0008263018068670939,0.0005058416209609166,0.00047498653387144363,0.0003669198743034003,0.0006722004363298178,0.0003530537627963819,0.0007932218119400138
JNJ,0.0003825345023939856,0.00019866421322153373,0.0004183822548661815,0.0004907034367090053,0.00037968384968578464,0.0005085671742166495,0.00034907156299478594,0.0004502427665717645,0.0003832841802760609,0.0004020348854898981,0.00029854341877976306,0.00045462782577778375,0.00041716087618354696,0.0004187349223492408,0.0003980868314106752,0.0003951577338621206,0.0006756373644985132,0.00037851021154207583,0.00034045929280815504,0.0004484348674356853,0.00031409037026477435,0.00036141978671976277,0.0003846743635076706,0.0003021742298289125,0.00039251369280361145,0.0005419253606664945,0.0003145782131836231,0.00038474907526268534,0.00031155909808044875,0.0003243426445571716
JPM,0.0008635660347855015,0.0005053504316132311,0.0015728681237666769,0.0003927397821090843,0.0005855428978167731,0.0018798199660078896,0.0011160423346725644,0.000978546402450159,0.0006261337706180705,0.0006325350856363266,0.0012860891435397548,0.0015181702897224464,0.000806260948107991,0.0010220859857753425,0.000764572554288803,0.0008321885305919648,0.00037851021154207583,0.0015927594493541349,0.0006276098636449152,0.00032630509422789647,0.0005063004882159701,0.0008087565980751288,0.0003739990752803139,0.0007224079608841673,0.0009679007203082621,0.0006818818932938821,0.0003735175698006407,0.0008075190734876229,0.00028428117229522295,0.0009737682509438858
MCD,0.0005246083445739351,0.0003492327505153706,0.000806829668924659,0.0003515246071206603,0.0005068313406395783,0.0011836298500355492,0.0005100288324055674,0.0004972384651748974,0.0003921824859227288,0.0005687222850744917,0.0005758190358124952,0.0006831500771922288,0.0006710094746029765,0.0006628482843386254,0.0005433057010392505,0.0005090961460282403,0.00034045929280815504,0.0006276098636449152,0.0008329099916495726,0.0002770594592487318,0.0004324642495115915,0.0006300812182767983,0.0003997056090196931,0.0005080156875152611,0.0006022954533591582,0.0005656205052864541,0.0002732468973672848,0.000604276762584916,0.00026077956313259366,0.0005946953503366908
MRK,0.0002647066256806892,6.862241173628335e-05,0.0003097096854955344,0.0005494556557002082,0.00022316866446566659,0.0003360608365569901,0.0003243036566305152,0.0003989017308100697,0.00025700370264045917,0.00036231922323372545,0.0003349597279751582,0.00034227579808456785,0.0002856506905137118,0.0003777833246339071,0.0002897769262797047,0.0001928466618205403,0.0004484348674356853,0.00032630509422789647,0.0002770594592487318,0.0009260179445004583,0.00019888540431048723,0.00020828265641088,0.00030986596869662464,0.000219728172434965,0.0004263262296960331,0.0005091712559480776,0.00033996702342072965,0.00032704984863523423,0.0002592529506501653,0.0002191140728524115
MSFT,0.0004957864560272419,0.0009889479647872464,0.0007113491085333001,0.00040915319536045117,0.0009126106033182817,0.0008710863641162417,0.0004073993001464028,0.00039637213479815157,0.0005494637583825414,0.0004122525606436111,0.00030851398078010747,0.0006618354158803758,0.0007445202580453324,0.0005759229500194624,0.0004900711699657146,0.0006787487120462872,0.00031409037026477435,0.0005063004882159701,0.0004324642495115915,0.00019888540431048723,0.0011613809837204528,0.0006707315989294458,0.0003937840545107093,0.0011439060384999759,0.0004053643542682654,0.0005866795142612579,0.0001652999417575782,0.0006685656292072485,0.00034936563080142105,0.00062859093388546
NKE,0.0006773508902019299,0.0006685518125667721,0.001064028700654285,0.00037298698299903114,0.0007575932596710639,0.0017585352625056382,0.0007964637222481555,0.000658560104070253,0.000620148039933447,0.0005916685906113615,0.0009669132480927881,0.0010080136259703347,0.0010086606738396058,0.0008664944733576716,0.0005890932131895251,0.0008162111537636968,0.00036141978671976277,0.0008087565980751288,0.0006300812182767983,0.00020828265641088,0.0006707315989294458,0.0019681209110892187,0.000501513850185617,0.0008331168533603243,0.0006992146560810283,0.0005812871184749618,0.0002784798965292258,0.0008067241810971402,0.00032165167826992243,0.0008869948338683108
PG,0.00039414126397357193,0.00029118013568071367,0.0004811911399809333,0.00038522676801545794,0.00048467487280417126,0.0006383119220181688,0.0002950806742587543,0.0003068281217759246,0.00038635838147685857,0.0004938731327686659,0.000278760168547532,0.0004259867080984846,0.0004742308786658029,0.0004205270446266422,0.0004262775394683682,0.0004509159278957798,0.0003846743635076706,0.0003739990752803139,0.0003997056090196931,0.00030986596869662464,0.0003937840545107093,0.000501513850185617,0.0007046442139971762,0.00036086046395370636,0.0003719380217770388,0.0004851327053288855,0.00031120500628740934,0.0004097818771083371,0.0003751481131812115,0.00039215091994418
CRM,0.0006960742821859329,0.0013922515905643899,0.0010515715554489928,0.00046971439679145525,0.0010381132686596815,0.0012691043234235734,0.0007613481753475333,0.0004364680073943063,0.0006135639146011834,0.0004204901270027585,0.0007556534827021523,0.0009055584983080239,0.0009586116307246321,0.0007250428912196117,0.0005909899630704451,0.0008263018068670939,0.0003021742298289125,0.0007224079608841673,0.0005080156875152611,0.000219728172434965,0.0011439060384999759,0.0008331168533603243,0.00036086046395370636,0.002643645509530887,0.0004887129592638517,0.00048740814119161997,0.00011581863650251246,0.0009517977009269844,0.00039199027734987597,0.0008023089689477755
TRV,0.0006658405861459153,0.0003091250089597681,0.0011334253177493207,0.00040637192321489965,0.00043827028258206267,0.0015781897890705004,0.0008053126166670997,0.0008396710389379028,0.000503130921201943,0.00067767145292103,0.0010001050284523215,0.0010287462149414697,0.000631657769492287,0.0009005483446276653,0.0006187831910129806,0.0005058416209609166,0.00039251369280361145,0.0009679007203082621,0.0006022954533591582,0.0004263262296960331,0.0004053643542682654,0.0006992146560810283,0.0003719380217770388,0.0004887129592638517,0.0012444716579505285,0.0006607786803599512,0.0003918279242472406,0.0006610447928136444,0.0003201245582336312,0.0007685409121209262
UNH,0.000548380560515395,0.00036765524903741264,0.0009460064388946337,0.0006542633584763018,0.000642047168048774,0.00118563374238582,0.0004973241627474836,0.0008118049161398616,0.000531322005330262,0.0006334195884311589,0.0004388449896226912,0.0008165793331652333,0.0007870762618602715,0.0007503688278022363,0.000563824466810777,0.00047498653387144363,0.0005419253606664945,0.0006818818932938821,0.0005656205052864541,0.0005091712559480776,0.0005866795142612579,0.0005812871184749618,0.0004851327053288855,0.00048740814119161997,0.0006607786803599512,0.0016353606227974802,0.00033830131402830314,0.000647895478741107,0.00035863990010693696,0.0005765184911309353
VZ,0.0003456630940852241,0.00013829465549588672,0.0004480961444321339,0.0003916592165593732,0.00017796739534386695,0.00048527174920776344,0.0003700447583586682,0.0004171272143402439,0.0002968230850241824,0.0003756847429121055,0.0004766390809803827,0.0003867904348567601,0.0002731923144673569,0.0003362299815975476,0.00038818427456689214,0.0003669198743034003,0.0003145782131836231,0.0003735175698006407,0.0002732468973672848,0.00033996702342072965,0.0001652999417575782,0.0002784798965292258,0.00031120500628740934,0.00011581863650251246,0.0003918279242472406,0.00033830131402830314,0.0007756758496482507,0.00025980364570884703,0.0002371906794857542,0.00024734978901210034
V,0.0006026636269046022,0.0006367618102424019,0.0012414749789161474,0.00046491280102828976,0.0007422322811219705,0.001308611825609525,0.0006227095305293831,0.0006202289515743643,0.0006032724366285065,0.0005698140728147293,0.0007273448622404101,0.00087522271688815,0.0008058022891989315,0.0008095693422072282,0.0006375700326882542,0.0006722004363298178,0.00038474907526268534,0.0008075190734876229,0.000604276762584916,0.00032704984863523423,0.0006685656292072485,0.0008067241810971402,0.0004097818771083371,0.0009517977009269844,0.0006610447928136444,0.000647895478741107,0.00025980364570884703,0.0011335150466868203,0.00028682564264337546,0.0007967720055501675
WMT,0.0003173223920082927,0.00043314365777275194,0.00027538041086654465,0.00033062632278488453,0.0004006431583415075,0.00025079565891034035,0.00036570848890010135,0.00023301532367502067,0.00046199226563521287,0.0003084815994190901,0.0002764240571007069,0.0003857454013602724,0.0003445166685636388,0.00028058894943743114,0.0002678916661996881,0.0003530537627963819,0.00031155909808044875,0.00028428117229522295,0.00026077956313259366,0.0002592529506501653,0.00034936563080142105,0.00032165167826992243,0.0003751481131812115,0.00039199027734987597,0.0003201245582336312,0.00035863990010693696,0.0002371906794857542,0.00028682564264337546,0.0008489248743503692,0.00033202706250935727
DIS,0.0006120009011464396,0.0007301981344825401,0.0012391074610843844,0.00036201505158689695,0.0007160467372021789,0.0016673504566265542,0.0008068876900286004,0.0007800136568187609,0.0005813048366538735,0.0005847528136426218,0.000982081562851408,0.0010680879881421685,0.0007679588953946093,0.0008738288066039571,0.0005826258833272969,0.0007932218119400138,0.0003243426445571716,0.0009737682509438858,0.0005946953503366908,0.0002191140728524115,0.00062859093388546,0.0008869948338683108,0.00039215091994418,0.0008023089689477755,0.0007685409121209262,0.0005765184911309353,0.00024734978901210034,0.0007967720055501675,0.00033202706250935727,0.0016257219058573374
